"start_station_name","end_station_name","total_trips","avg_duration"
"Mountain View Caltrain Station","Rengstorff Avenue / California Street",6,1073.83333333333
"Park at Olive","Palo Alto Caltrain Station",6,1107
"Post at Kearny","2nd at South Park",6,90.5
"Post at Kearny","Grant Avenue at Columbus Avenue",6,391.833333333333
"Post at Kearny","Steuart at Market",6,341
"Post at Kearny","Townsend at 7th",6,940
"Powell Street BART","Beale at Market",6,521.833333333333
"Powell Street BART","Market at 4th",6,131.833333333333
"Powell at Post (Union Square)","Davis at Jackson",6,639.166666666667
"Powell at Post (Union Square)","Harry Bridges Plaza (Ferry Building)",6,695.833333333333
"Powell at Post (Union Square)","San Francisco Caltrain 2 (330 Townsend)",6,625.5
"San Francisco Caltrain (Townsend at 4th)","Commercial at Montgomery",6,910.166666666667
"San Francisco Caltrain 2 (330 Townsend)","Powell at Post (Union Square)",6,993.666666666667
"San Francisco City Hall","San Francisco Caltrain 2 (330 Townsend)",6,550.833333333333
"Santa Clara County Civic Center","San Pedro Square",6,737
"Spear at Folsom","Golden Gate at Polk",6,1012.33333333333
"St James Park","Japantown",6,516.833333333333
"Temporary Transbay Terminal (Howard at Beale)","Market at 10th",6,828.5
"Townsend at 7th","Embarcadero at Bryant",6,761
"Townsend at 7th","Post at Kearny",6,707.5
