"start_station_name","end_station_name","total_trips_2014","avg_duration.x","total_trips_2015","avg_duration.y","trip_change","percent_change"
"Broadway St at Battery St","2nd at South Park",1,1223,1,695,0,0
"Broadway St at Battery St","2nd at Townsend",NA,NA,12,805.833333333333,NA,NA
"Broadway St at Battery St","5th at Howard",NA,NA,3,808.333333333333,NA,NA
"Broadway St at Battery St","Beale at Market",19,268.789473684211,14,280.785714285714,-5,-26.3157894736842
"Broadway St at Battery St","Broadway St at Battery St",NA,NA,3,1881.66666666667,NA,NA
"Broadway St at Battery St","Civic Center BART (7th at Market)",1,752,2,909.5,1,100
"Broadway St at Battery St","Clay at Battery",4,138.5,3,158.333333333333,-1,-25
"Broadway St at Battery St","Commercial at Montgomery",NA,NA,2,156.5,NA,NA
"Broadway St at Battery St","Davis at Jackson",1,97,NA,NA,NA,NA
"Broadway St at Battery St","Embarcadero at Bryant",5,588,7,582.285714285714,2,40
"Broadway St at Battery St","Embarcadero at Sansome",1,330,4,185.75,3,300
"Broadway St at Battery St","Embarcadero at Vallejo",1,1245,NA,NA,NA,NA
"Broadway St at Battery St","Grant Avenue at Columbus Avenue",NA,NA,2,3821.5,NA,NA
"Broadway St at Battery St","Harry Bridges Plaza (Ferry Building)",2,561,3,237,1,50
"Broadway St at Battery St","Market at 10th",NA,NA,1,1369,NA,NA
"Broadway St at Battery St","Market at 4th",2,2982.5,5,712.2,3,150
"Broadway St at Battery St","Market at Sansome",3,405.666666666667,8,338.375,5,166.666666666667
"Broadway St at Battery St","Mechanics Plaza (Market at Battery)",7,301.428571428571,12,419.5,5,71.4285714285714
"Broadway St at Battery St","Post at Kearny",2,754.5,4,580,2,100
"Broadway St at Battery St","Powell Street BART",2,1666.5,1,525,-1,-50
"Broadway St at Battery St","San Francisco Caltrain (Townsend at 4th)",16,927.8125,21,936.666666666667,5,31.25
"Broadway St at Battery St","San Francisco Caltrain 2 (330 Townsend)",1,793,7,976,6,600
"Broadway St at Battery St","Spear at Folsom",1,753,1,568,0,0
"Broadway St at Battery St","Steuart at Market",3,320,14,285.142857142857,11,366.666666666667
"Broadway St at Battery St","Temporary Transbay Terminal (Howard at Beale)",16,456.875,8,453,-8,-50
"Broadway St at Battery St","Townsend at 7th",1,1250,2,1127,1,100
"Broadway St at Battery St","Washington at Kearny",1,1704,1,191,0,0
"Broadway St at Battery St","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,2,630,NA,NA
"California Ave Caltrain Station","California Ave Caltrain Station",NA,NA,5,1873,NA,NA
"California Ave Caltrain Station","Cowper at University",3,1198,4,1110.5,1,33.3333333333333
"California Ave Caltrain Station","Palo Alto Caltrain Station",5,1339.8,2,655,-3,-60
"California Ave Caltrain Station","Park at Olive",1,148,NA,NA,NA,NA
"California Ave Caltrain Station","Rengstorff Avenue / California Street",1,1428,NA,NA,NA,NA
"California Ave Caltrain Station","San Antonio Caltrain Station",1,1229,2,1449.5,1,100
"California Ave Caltrain Station","San Antonio Shopping Center",NA,NA,1,1328,NA,NA
"California Ave Caltrain Station","University and Emerson",9,914.222222222222,2,861,-7,-77.7777777777778
"Castro Street and El Camino Real","Castro Street and El Camino Real",3,6120.33333333333,2,6154.5,-1,-33.3333333333333
"Castro Street and El Camino Real","Mountain View Caltrain Station",29,404.965517241379,25,576.32,-4,-13.7931034482759
"Castro Street and El Camino Real","Mountain View City Hall",1,739,NA,NA,NA,NA
"Civic Center BART (7th at Market)","2nd at Folsom",3,534.333333333333,1,560,-2,-66.6666666666667
"Civic Center BART (7th at Market)","2nd at South Park",1,688,1,585,0,0
"Civic Center BART (7th at Market)","5th at Howard",1,281,4,370.5,3,300
"Civic Center BART (7th at Market)","Beale at Market",4,4183.25,5,551,1,25
"Civic Center BART (7th at Market)","Broadway St at Battery St",1,886,NA,NA,NA,NA
"Civic Center BART (7th at Market)","Civic Center BART (7th at Market)",7,11108.2857142857,NA,NA,NA,NA
"Civic Center BART (7th at Market)","Clay at Battery",7,727.571428571429,NA,NA,NA,NA
"Civic Center BART (7th at Market)","Commercial at Montgomery",2,17237.5,1,934,-1,-50
"Civic Center BART (7th at Market)","Davis at Jackson",5,873,NA,NA,NA,NA
"Civic Center BART (7th at Market)","Embarcadero at Sansome",2,963,3,964.333333333333,1,50
"Civic Center BART (7th at Market)","Embarcadero at Vallejo",1,916,NA,NA,NA,NA
"Civic Center BART (7th at Market)","Golden Gate at Polk",5,236.8,3,214.666666666667,-2,-40
"Civic Center BART (7th at Market)","Grant Avenue at Columbus Avenue",1,1103,5,857.2,4,400
"Civic Center BART (7th at Market)","Harry Bridges Plaza (Ferry Building)",1,635,4,971.25,3,300
"Civic Center BART (7th at Market)","Howard at 2nd",3,555.666666666667,2,1212.5,-1,-33.3333333333333
"Civic Center BART (7th at Market)","Market at 10th",13,200.923076923077,2,248,-11,-84.6153846153846
"Civic Center BART (7th at Market)","Market at 4th",6,570,11,648,5,83.3333333333333
"Civic Center BART (7th at Market)","Market at Sansome",8,530.375,4,693.5,-4,-50
"Civic Center BART (7th at Market)","Mechanics Plaza (Market at Battery)",6,1839,2,4816,-4,-66.6666666666667
"Civic Center BART (7th at Market)","Post at Kearny",1,579,2,367.5,1,100
"Civic Center BART (7th at Market)","Powell at Post (Union Square)",NA,NA,2,401.5,NA,NA
"Civic Center BART (7th at Market)","Powell Street BART",6,301.666666666667,4,8015.5,-2,-33.3333333333333
"Civic Center BART (7th at Market)","San Francisco Caltrain (Townsend at 4th)",8,518.375,7,547.285714285714,-1,-12.5
"Civic Center BART (7th at Market)","San Francisco Caltrain 2 (330 Townsend)",5,544.6,11,584,6,120
"Civic Center BART (7th at Market)","San Francisco City Hall",4,311.25,NA,NA,NA,NA
"Civic Center BART (7th at Market)","South Van Ness at Market",8,301.125,5,840.6,-3,-37.5
"Civic Center BART (7th at Market)","Steuart at Market",10,793.6,3,639,-7,-70
